order_item_id,customer_id,product_id,purchase_date,quantity,discount_pct,revenue
ORD-000001,CUST-00001,PROD-001,2026-04-30,1,0.0,2999.0
ORD-000002,CUST-00002,PROD-001,2026-04-23,1,0.0,2999.0
ORD-000003,CUST-00007,PROD-001,2026-03-11,1,0.0,2999.0
ORD-000004,CUST-00029,PROD-001,2026-05-04,1,0.0,2999.0
ORD-000005,CUST-00031,PROD-001,2026-03-14,1,0.0,2999.0
ORD-000006,CUST-00038,PROD-001,2026-05-08,1,0.0,2999.0
ORD-000007,CUST-00045,PROD-001,2026-05-15,1,0.0,2999.0
ORD-000008,CUST-00048,PROD-001,2026-05-27,1,0.0,2999.0
ORD-000009,CUST-00061,PROD-001,2026-04-27,1,0.0,2999.0
ORD-000010,CUST-00062,PROD-001,2026-05-14,1,0.0,2999.0
ORD-000011,CUST-00067,PROD-001,2026-05-29,1,0.0,2999.0
ORD-000012,CUST-00067,PROD-002,2026-06-04,1,0.0,1200.0
ORD-000013,CUST-00077,PROD-001,2026-04-26,1,0.0,2999.0
ORD-000014,CUST-00078,PROD-001,2026-04-21,1,0.0,2999.0
ORD-000015,CUST-00087,PROD-001,2026-04-23,1,0.0,2999.0
ORD-000016,CUST-00088,PROD-001,2026-04-07,1,0.0,2999.0
ORD-000017,CUST-00089,PROD-001,2026-03-31,1,0.0,2999.0
ORD-000018,CUST-00091,PROD-001,2026-03-22,1,0.0,2999.0
ORD-000019,CUST-00093,PROD-001,2026-04-11,1,0.0,2999.0
ORD-000020,CUST-00094,PROD-001,2026-04-22,1,0.0,2999.0
ORD-000021,CUST-00104,PROD-001,2026-05-31,1,0.0,2999.0
ORD-000022,CUST-00119,PROD-001,2026-05-22,1,0.0,2999.0
ORD-000023,CUST-00119,PROD-002,2026-06-29,1,0.0,1200.0
ORD-000024,CUST-00120,PROD-001,2026-04-08,1,0.0,2999.0
ORD-000025,CUST-00124,PROD-001,2026-05-27,1,0.0,2999.0
ORD-000026,CUST-00126,PROD-001,2026-05-13,1,0.0,2999.0
